Airport_Name,Most_Frequent_Reason,Number_Of_Cancellations
"McCarran International",Carrier,37
"Daniel K Inouye International",Carrier,30
"Orlando International",Carrier,22
"Metropolitan Oakland International",Carrier,20
"Dallas/Fort Worth International",Weather,19
"Dallas/Fort Worth International",Carrier,19
"Los Angeles International",Carrier,18
"Denver International",Carrier,17
"Seattle/Tacoma International",Weather,17
"Chicago O'Hare International",Carrier,16
"San Diego International",Carrier,16
"Jack Brooks Regional",Weather,14
"Juneau International",Weather,14
"Ted Stevens Anchorage International",Weather,13
"Ronald Reagan Washington National",Weather,13
"Brownsville South Padre Island International",Carrier,12
"Kahului Airport",Carrier,12
"Aspen Pitkin County Sardy Field",Weather,11
"Logan International",Carrier,11
"Dallas Love Field",Carrier,11
"Lihue Airport",Carrier,11
"Norman Y. Mineta San Jose International",Carrier,11
"Hartsfield-Jackson Atlanta International",Carrier,10
LaGuardia,Carrier,10
"Bob Hope",Carrier,9
"Austin - Bergstrom International",Carrier,8
"Newark Liberty International",Carrier,8
"Fort Lauderdale-Hollywood International",Carrier,8
"Tampa International",Carrier,8
"Yakutat Airport",Weather,8
"Baltimore/Washington International Thurgood Marshall",Carrier,7
"Ellison Onizuka Kona International at Keahole",Carrier,7
"Palm Beach International",Carrier,7
"Phoenix Sky Harbor International",Carrier,7
"San Francisco International",Carrier,7
"Wichita Dwight D Eisenhower National",Weather,6
"Ketchikan International",Weather,6
"Chicago Midway International",Carrier,6
"Philadelphia International",Carrier,6
"Southwest Florida International",Carrier,6
"Sacramento International",Carrier,6
"Cincinnati/Northern Kentucky International",Carrier,5
"Washington Dulles International",Carrier,5
"Hilo International",Carrier,5
"Pittsburgh International",Carrier,5
"Salt Lake City International",Carrier,5
"Nashville International",Carrier,4
"Charlotte Douglas International",Weather,4
"John Glenn Columbus International",Carrier,4
"George Bush Intercontinental/Houston",Carrier,4
"Indianapolis International",Carrier,4
"John F. Kennedy International",Carrier,4
"Long Beach Airport",Carrier,4
"Louis Armstrong New Orleans International",Carrier,4
"Portland International",Carrier,4
"Raleigh-Durham International",Carrier,4
"Reno/Tahoe International",Carrier,4
"John Wayne Airport-Orange County",Carrier,4
"St Louis Lambert International",Carrier,4
"Walla Walla Regional",Weather,3
"Appleton International",Weather,3
"Bradley International",Carrier,3
"Bethel Airport",Weather,3
"Bellingham International",Weather,3
"Fairbanks International",Weather,3
"Minneapolis-St Paul International",Weather,3
"Myrtle Beach International",Carrier,3
"Deadhorse Airport",Weather,3
"Luis Munoz Marin International",Carrier,3
"Atlantic City International",Carrier,2
"Boise Air Terminal",Weather,2
"Boise Air Terminal",Carrier,2
"Wiley Post/Will Rogers Memorial",Weather,2
"Buffalo Niagara International",Carrier,2
"Cleveland-Hopkins International",Carrier,2
"Houghton County Memorial",Weather,2
"Detroit Metro Wayne County",Carrier,2
"Fresno Yosemite International",Weather,2
"Spokane International",Weather,2
"William P Hobby",Carrier,2
"Westchester County",Carrier,2
"Midland International Air and Space Port",Carrier,2
"Kansas City International",Carrier,2
"Miami International",Carrier,2
"Petersburg James A Johnson",Weather,2
"San Antonio International",Carrier,2
"Santa Barbara Municipal",Carrier,2
"Louisville Muhammad Ali International",Carrier,2
"Orlando Sanford International",Weather,2
"Lehigh Valley International",Weather,1
"Albuquerque International Sunport",Carrier,1
Adak,Weather,1
Adak,Carrier,1
"Albany International",Carrier,1
"Asheville Regional",Weather,1
"Bemidji Regional",Weather,1
"Bozeman Yellowstone International",Carrier,1
"Columbia Metropolitan",Weather,1
"Merle K Mudhole Smith",Weather,1
"Lovell Field","National Air System",1
"Charleston AFB/International",Weather,1
"James M Cox/Dayton International",Weather,1
"El Paso International",Carrier,1
"Mahlon Sweet Field",Weather,1
"Mahlon Sweet Field",Carrier,1
"Garden City Regional",Weather,1
"Piedmont Triad International",Weather,1
"Gunnison-Crested Butte Regional",Weather,1
"Wilmington International",Weather,1
"Long Island MacArthur",Carrier,1
"Jacksonville International",Carrier,1
"Concord Padgett Regional",Weather,1
"Lubbock Preston Smith International",Carrier,1
"Blue Grass",Weather,1
"Memphis International",Carrier,1
"Rogue Valley International - Medford",Weather,1
"Montgomery Regional",Weather,1
"General Mitchell International","National Air System",1
"Montrose Regional",Weather,1
"Albert J Ellis",Weather,1
"Nome Airport",Weather,1
"Ontario International",Carrier,1
"Norfolk International",Carrier,1
"Southwest Oregon Regional","National Air System",1
"Ralph Wien Memorial",Weather,1
"Pensacola International",Weather,1
"Pensacola International",Carrier,1
"Tri Cities",Weather,1
"Theodore Francis Green State",Weather,1
"Redding Municipal",Weather,1
"Roberts Field",Weather,1
"Richmond International","National Air System",1
"Sitka Rocky Gutierrez",Weather,1
"Cyril E King",Carrier,1
"Trenton Mercer",Weather,1
"Tucson International",Weather,1
"McGhee Tyson",Carrier,1
