FlightDate,Flights_Per_Day,Avg_Flights_Preceding_3_Days
2023-11-01,18425,NULL
2023-11-02,19799,18425.0000
2023-11-03,19733,19112.0000
2023-11-04,16789,19319.0000
2023-11-05,19354,18773.6667
2023-11-06,19763,18625.3333
2023-11-07,18545,18635.3333
2023-11-08,18723,19220.6667
2023-11-09,19886,19010.3333
2023-11-10,19791,19051.3333
2023-11-11,16753,19466.6667
2023-11-12,19589,18810.0000
2023-11-13,19797,18711.0000
2023-11-14,18655,18713.0000
2023-11-15,18869,19347.0000
2023-11-16,19864,19107.0000
2023-11-17,19919,19129.3333
2023-11-18,17166,19550.6667
2023-11-19,19734,18983.0000
2023-11-20,19580,18939.6667
2023-11-21,19743,18826.6667
2023-11-22,20080,19685.6667
2023-11-23,11417,19801.0000
2023-11-24,17066,17080.0000
2023-11-25,19358,16187.6667
2023-11-26,20578,15947.0000
2023-11-27,20301,19000.6667
2023-11-28,17743,20079.0000
2023-11-29,17672,19540.6667
2023-11-30,19085,18572.0000
